category,book_name,author,publisher,publishDate,price
小说,铁浆,朱西甯,九州出版社,2018-10,56.00元
小说,挪威的森林,[日] 村上春树,上海译文出版社,2018-3,38.00元
小说,雪国,[日] 川端康成,南海出版公司,2022-6-1,59
小说,亲切的恶魔,[日]星新一,译林出版社,2023-3,45
小说,寂寞的游戏,袁哲生,北京联合出版公司,2017-9,38.00元
小说,漫长的告别,[美] 雷蒙德·钱德勒,海南出版社,2018-9,69.00
小说,沧浪之水,阎真,人民文学出版社,2001-10,26.00元
小说,偏爱,夏七夕,湖南文艺出版社,2021-9-1,49.80元
小说,教父,[美] 马里奥·普佐,江苏文艺出版社,2014-4,45
小说,漫长的告别,[美] 雷蒙德·钱德勒,上海译文出版社,2020-5,56.00元
小说,黄金时代,王小波,花城出版社,1999-3,19.00元
小说,包法利夫人,福楼拜,人民文学出版社,2003-1-1,CNY 28.00
小说,海风中失落的血色馈赠,[加拿大] 阿利斯泰尔·麦克劳德,上海文艺出版社,2015-6-1,CNY 20.00
小说,非亲非故,索耳,中信出版集团,2023-6,59.80
小说,白鹿原,陈忠实,人民文学出版社,2012-9,39.00元
小说,埃塞克斯之蛇,[英] 莎拉·佩里,北京联合出版公司,2023-5-1,59
小说,灿烂千阳,[美] 卡勒德·胡赛尼,上海人民出版社,2007-9,28.00元
小说,莫斯科绅士,[美] 埃默·托尔斯,湖南文艺出版社,2018-6,79.80元
小说,玩笑,[法] 米兰·昆德拉,上海译文出版社,2022-4-30,68.00
小说,你一生的故事,[美] 特德·姜,译林出版社,2015-5,36.00元
小说,默里·麦克布莱德的五个愿望,[美]乔·西普尔,四川人民出版社,2023-2,49.80元
小说,战争与和平,[俄] 托尔斯泰,人民文学出版社,2015-4,88.00元
小说,方舟,[俄] 托尔斯泰,人民文学出版社,2015-4,88.00元
小说,到灯塔去,[英] 弗吉尼亚·伍尔夫,上海译文出版社,2022-10,69
小说,诊疗椅上的谎言,鲁宓,机械工业出版社,2017-3,49.00元
小说,笑傲江湖（全四册）,金庸,生活·读书·新知三联书店,1994-5,76.80元
小说,飘,[美国] 玛格丽特·米切尔,译林出版社,2000-9,40.00元
小说,窄门,[法] 安德烈·纪德、顾琪静 译者,天津人民出版社,2018-10,45.00
小说,四叠半时光机布鲁斯,[日]森见登美彦,新星出版社,2022-3,46
小说,Yellowface,R. F. Kuang,William Morrow,2023-5-16,USD 28.99
小说,尘埃落定,阿来,浙江文艺出版社,2020-10,49.00元
小说,GOTH断掌事件,[日] 乙一,南海出版公司,2022-12,59.0元
小说,热夜之梦,[美] 乔治 R·R·马丁,湖南文艺出版社,2022-11,68元
小说,人间便利店,[日] 村田沙耶香,湖南文艺出版社·向上文学品牌,2018-4,45.00元
小说,无人生还,[英] 阿加莎・克里斯蒂,人民文学出版社,2008-3,19.00
小说,鱼鳞帽艳史,[塞尔维亚] 米洛拉德·帕维奇,上海译文出版社,2023-3,78.00元
小说,复明症漫记,[葡]若泽·萨拉马戈,河南文艺出版社,2023-4,66
小说,两棵花椒树,姚鄂梅,北岳文艺出版社,2019-8-1,59.8
小说,钢琴教师,[奥] 埃尔夫丽德·耶利内克,花城出版社,2023-4,78.00元
小说,骆驼祥子,老舍,人民文学出版社,2000-3-1,12.00
小说,偶像失格,[日] 宇佐见铃,湖南文艺出版社,2022-7,49.00元
小说,孽子,白先勇,广西师范大学出版社,2010.10,46.00元
小说,佩德罗·巴拉莫,[墨西哥] 胡安·鲁尔福,译林出版社,2021-1,48.00元
小说,2001：太空漫游,[英] 阿瑟·克拉克,上海文艺出版社,2019-5-10,62.00元
小说,一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼,四川文艺出版社,2015-12,35.00元
小说,静湖,[美]雷切尔·凯恩,台海出版社,2023-5,168.00元
小说,春祺夏安,杜梨,湖南文艺出版社,2023-5,52.00
